ParameterValue,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
40.0,9,118.1227,329.417,58.4246356666667,0.28447505239053644,366.74162583333316,0.21910177601347264,19
40.0,10,112.5021,246.825,55.48858099999998,0.37984056855396875,371.8929908333337,0.20689575814880784,23
40.0,11,112.9156,274.84400000000005,54.07819499999998,0.3251020639587061,345.73712249999977,0.22939899118447513,15
40.0,12,116.2947,294.269,63.76454166666664,0.3193525764974677,359.6304558333335,0.23057064099239918,20
40.0,13,111.2426,309.523,55.694737166666634,0.29681086165917653,358.07445416666644,0.21983241980874704,17
40.0,14,112.4743,242.68300000000002,53.82587933333335,0.36952554704422363,361.7032941666668,0.22179724873886997,17
50.0,0,135.2027,241.175,61.97229166666666,0.3833543277702913,360.0376349999996,0.22042351853493408,18
50.0,1,166.711,313.376,56.60705599999999,0.29858735725348046,360.3753275000001,0.2212160750561484,18
50.0,2,151.6059,263.219,53.43124183333334,0.33734484719314844,361.3882049999997,0.21023088216222235,19
50.0,3,153.7431,266.956,57.01636516666668,0.34318795981360223,370.81096916666655,0.21895630080493134,22
50.0,4,168.1769,234.44600000000003,56.19614983333337,0.3996916347474472,373.15427250000016,0.21296605826420575,17
50.0,5,165.8459,234.30900000000003,56.00268666666668,0.3829664815834361,363.0371333333331,0.22529354556599146,19
50.0,6,181.0879,295.35200000000003,51.49849649999996,0.3116536483021388,367.0677975,0.19840666836304827,19
50.0,7,200.7041,315.369,53.7460585,0.29861654125801845,374.23797166666645,0.21803250865708965,17
50.0,8,188.4045,307.027,54.28277583333332,0.31155368528935035,372.9619049999999,0.21858243659971818,15
50.0,9,163.7897,285.773,63.38731966666668,0.3463799064292287,375.3572191666665,0.21318756083607077,18
50.0,10,158.5192,239.7495,56.85936350000002,0.3585457599146888,349.01363666666657,0.2135319821509481,22
50.0,11,152.0537,252.3,54.22421499999999,0.36626946756506795,357.99334250000027,0.20707362721332834,19
50.0,12,151.9964,203.966,53.69579000000002,0.43664028972148955,361.1477966666664,0.20776634015584491,22
50.0,13,148.6812,292.421,60.55259300000001,0.3209801963607265,374.3476733333334,0.22382467225747632,21
50.0,14,139.7342,254.50500000000002,49.59353333333337,0.3441194148117588,354.8442991666665,0.20937152732318481,17
75.0,0,222.7423,278.77799999999996,53.540225666666636,0.3090036157802984,355.48640249999994,0.21680773173317766,24
75.0,1,216.9025,227.11100000000002,51.34094166666665,0.3891326047615484,357.3844116666664,0.20742414868891876,21
75.0,2,227.9476,272.645,56.9327051666667,0.3378389114049405,367.5406624999999,0.21962390598653472,19
75.0,3,219.3919,287.516,52.65773050000002,0.3167705507403646,362.94214749999975,0.22282686941655694,17
75.0,4,231.7501,195.295,53.43807966666667,0.4323932683035067,345.2777133333332,0.2169084932228869,17
75.0,5,219.1851,319.565,56.4089458333333,0.2950150569263427,378.6681849999995,0.22023099975105206,16
75.0,6,227.3986,264.71299999999997,52.037953833333304,0.33650797278562067,351.73602166666666,0.2262345556338375,17
75.0,7,221.2188,328.945,60.647085166666635,0.30412113980553995,377.02926083333335,0.2143866861885118,15
75.0,8,210.0578,245.1235,59.43707500000001,0.38818359588805906,370.3179150000001,0.22966567435565957,23
75.0,9,212.2049,309.153,56.87813316666665,0.295397758822762,357.4684083333334,0.2156733125288638,15
75.0,10,227.0964,263.133,55.4430255,0.3414619856371746,365.2633116666662,0.21105190254508135,21
75.0,11,205.5801,216.774,53.496926333333334,0.40671216720332387,366.4368916666662,0.21310998725521785,22
75.0,12,220.234,292.503,64.88703433333332,0.3240326936817741,370.9486091666669,0.22239760923197663,21
75.0,13,223.8118,205.869,52.84158699999999,0.43816723256051177,355.6318275,0.2244943187849674,19
75.0,14,220.022,227.39200000000002,52.996833166666654,0.3826194926236044,345.4187074999999,0.21028451549167654,20
100.0,0,330.4077,282.46000000000004,60.48526483333332,0.3536108062498524,394.56218000000007,0.21113654491229855,17
100.0,1,312.2561,226.32000000000002,52.06299599999996,0.3904244359019677,365.972690833333,0.19528581914667067,18
100.0,2,298.6088,278.28000000000003,60.82134699999998,0.3353137068180729,368.07674333333307,0.21336340086482697,19
100.0,3,311.0564,233.78900000000002,52.74910583333331,0.3831068827019235,352.2626558333332,0.22663097259973217,18
100.0,4,295.5978,292.307,58.60273249999995,0.3246959988414007,375.987725,0.20890461764459206,18
100.0,5,292.0526,280.999,62.07648633333336,0.35391499613877636,382.9799525000002,0.219804114556771,23
100.0,6,300.7868,248.639,56.778854833333355,0.38068508292477565,358.00925333333316,0.2160344385658012,16
100.0,7,329.5124,262.235,50.86151,0.33800019066867504,355.0122366666668,0.21326700478854646,19
100.0,8,307.8482,285.598,54.70746766666666,0.3303954567842445,377.9384633333332,0.21651389269486315,18
100.0,9,293.5689,371.825,57.85348649999999,0.2673015307380264,373.5193591666668,0.22423084379431452,16
100.0,10,292.4458,273.462,52.57404416666665,0.33639146084891747,368.9589266666667,0.22105268524858462,19
100.0,11,297.8754,232.28500000000003,53.62494016666668,0.39207086840160416,354.51725166666637,0.21206414617334907,17
100.0,12,309.5976,330.568,64.35630266666665,0.29585799290917447,368.07920916666666,0.22299423785566835,17
100.0,13,306.5675,229.447,52.941745833333314,0.40154392227108354,363.34544916666675,0.19060630343417997,16
100.0,14,300.3484,304.627,57.030648333333346,0.3133119410514061,371.6101349999996,0.20923491043097636,17
125.0,0,378.1633,285.954,49.072018166666666,0.30881526399350945,351.2566200000001,0.21616283378851323,19
125.0,1,374.5327,273.606,53.24988616666666,0.3276394523511911,357.3692916666663,0.21257987322059757,20
125.0,2,376.2277,252.382,49.69780983333333,0.35300555639203,357.32499750000005,0.21844103804396606,17
125.0,3,373.1765,234.57,56.02799716666666,0.37701271830725713,344.7911958333331,0.21842006025221683,17
125.0,4,376.0067,232.15800000000002,51.332642166666645,0.38494261092302073,356.45191250000045,0.21560342038470526,17
125.0,5,374.7452,217.87000000000006,55.817668999999945,0.41951968299138614,359.0340458333335,0.21837862672403868,20
125.0,6,410.6485,222.167,54.77329766666666,0.42587122149854245,363.9228300000001,0.2106536704425892,18
125.0,7,388.5086,246.859,53.47203450000001,0.36832460365363767,365.5785216666669,0.22077188260629627,17
125.0,8,392.2059,279.808,55.677705333333314,0.32617874280458975,360.727216666667,0.21527232345237698,21
125.0,9,384.7218,290.007,61.26269100000004,0.32220484907835556,355.3309366666668,0.22118016926691078,24
125.0,10,382.8661,181.44400000000002,49.46212966666668,0.4869266366849644,352.33198833333347,0.206267389794717,21
125.0,11,376.3401,264.617,55.19282683333336,0.32797124397399513,363.1350358333337,0.2179104902264855,20
125.0,12,381.2316,333.062,60.94071750000004,0.30085259901559863,375.08312916666654,0.225948031408056,17
125.0,13,403.3908,362.668,54.9078501666667,0.24672548078867362,362.2093125000003,0.2136367208782934,20
125.0,14,387.1368,290.149,62.327617666666676,0.32303607227091374,372.41981583333313,0.21764741953248096,23
150.0,0,475.1799,294.997,61.458630166666644,0.3208053189241472,379.48467833333285,0.22230552143408575,22
150.0,1,462.3208,263.369,55.01362633333334,0.3505341175309167,360.3056225000001,0.20153384605371008,22
150.0,2,465.7386,196.63000000000002,47.9775875,0.4268390462628625,348.29877333333354,0.20959818121084967,24
150.0,3,509.4513,242.92100000000002,55.63516233333331,0.3916203553144161,373.1267033333336,0.20865878904852905,16
150.0,4,464.5261,232.376,55.922512499999996,0.40098917272007417,369.1279833333334,0.20664956629270229,19
150.0,5,472.5056,313.371,57.74390266666669,0.3092657531594607,368.3960133333333,0.22303925345110914,20
150.0,6,470.9809,254.166,54.178562833333345,0.3787669738150134,378.5425708333332,0.22154585365679236,16
150.0,7,468.7253,254.95700000000002,53.01627366666666,0.35572944980264637,359.5109641666668,0.21753265470509464,20
150.0,8,472.1633,260.986,59.57306299999998,0.37145392217717943,371.0877683333336,0.20681495093857477,17
150.0,9,527.1646,199.619,51.362194166666654,0.4388706235378397,359.94373416666633,0.21034730332144136,16
150.0,10,467.5308,237.834,58.159750666666675,0.40333566689371575,372.27660166666675,0.207864046031899,19
150.0,11,477.9874,257.36400000000003,54.23956333333336,0.36725412256570444,365.9020375000002,0.21588002297425563,18
150.0,12,479.5766,312.54400000000004,56.29955033333334,0.2966591157298386,365.41843666666705,0.2157878283890275,20
150.0,13,521.1012,236.383,53.6637268333333,0.39592728044458925,365.9241416666664,0.20936786945669705,17
150.0,14,472.7624,266.92400000000004,52.462316500000014,0.3507198428516481,374.1926150000001,0.2120271419580429,16
